month,segment_id,action_type,title,rationale,score,업종_중분류,사업장_시도,법인_고객등급,전담고객여부
2024-12-01,전문직별 공사업|부산광역시|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,127.17248117101754,전문직별 공사업,부산광역시,우수,Y
2024-12-01,기타 개인 서비스업|경상북도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,125.37501518648735,기타 개인 서비스업,경상북도,우수,Y
2024-12-01,창고 및 운송관련 서비스업|부산광역시|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,123.53846153846155,창고 및 운송관련 서비스업,부산광역시,일반,Y
2024-12-01,부동산업|부산광역시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,123.49794585210267,부동산업,부산광역시,최우수,Y
2024-12-01,숙박업|대전광역시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,122.87500000000003,숙박업,대전광역시,최우수,Y
2024-12-01,금속가공제품 제조업; 기계 및 가구 제외|서울특별시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,119.1,금속가공제품 제조업; 기계 및 가구 제외,서울특별시,최우수,Y
2024-12-01,"펄프, 종이 및 종이제품 제조업|대구광역시|우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,117.11099037638668,"펄프, 종이 및 종이제품 제조업",대구광역시,우수,Y
2024-12-01,섬유제품 제조업; 의복제외|대구광역시|최우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,115.00000000000001,섬유제품 제조업; 의복제외,대구광역시,최우수,N
2024-12-01,도매 및 상품 중개업|서울특별시|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,112.4656496792992,도매 및 상품 중개업,서울특별시,일반,Y
2024-12-01,"의복, 의복 액세서리 및 모피제품 제조업|경상북도|우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,111.30275977903737,"의복, 의복 액세서리 및 모피제품 제조업",경상북도,우수,Y
2024-12-01,금속가공제품 제조업; 기계 및 가구 제외|대구광역시|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,102.71078915563317,금속가공제품 제조업; 기계 및 가구 제외,대구광역시,일반,N
2024-12-01,전기장비 제조업|대구광역시|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,102.19670344310109,전기장비 제조업,대구광역시,일반,Y
2024-12-01,전문 서비스업|서울특별시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,102.0365288566504,전문 서비스업,서울특별시,최우수,Y
2024-12-01,사업지원 서비스업|대구광역시|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,99.9846981162098,사업지원 서비스업,대구광역시,일반,N
2024-12-01,출판업|경상북도|우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,99.09667642306728,출판업,경상북도,우수,N
2024-12-01,종합 건설업|부산광역시|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,98.87002344025352,종합 건설업,부산광역시,일반,Y
2024-12-01,자동차 및 트레일러 제조업|경상남도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,98.57085718436875,자동차 및 트레일러 제조업,경상남도,우수,Y
2024-12-01,가구 제조업|경상북도|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,93.85714285714286,가구 제조업,경상북도,최우수,Y
2024-12-01,부동산업|대구광역시|우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,93.19511635598857,부동산업,대구광역시,우수,N
2024-12-01,소매업; 자동차 제외|경상북도|우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,90.63333333333333,소매업; 자동차 제외,경상북도,우수,N
2024-12-01,기타 기계 및 장비 제조업|대구광역시|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,89.3174617225688,기타 기계 및 장비 제조업,대구광역시,일반,N
2024-12-01,1차 금속 제조업|경상북도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,88.30552347026898,1차 금속 제조업,경상북도,우수,Y
2024-12-01,사업시설 관리 및 조경 서비스업|서울특별시|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,88.28206006338038,사업시설 관리 및 조경 서비스업,서울특별시,일반,Y
